Form ID,Form Data
j04-111,"Table 1 shows the decontamination factors obtained experimentally for ten radionuclides , accompanied in two instances by radioactive dau- ghters . The decontamination factor falls below 104 only for Ruthenium-106 and zirconium-95 with their daughters in the first stage , i.e. 21 daughter . When the second stage ( the bismuth phosphate source ) is completed , the decontami-"
j04-115,A known quantity ( approx. 1 x 10-2 15mc ) of lead-210 was added to 1-litre aliquots of different batches of typical low-activity effluent . The aliquots were allowed to where noted to the contrary ) before lead carrier was added and the analytical procedure begun .
j06-000,"All stages of Calanus , for example , seem to migrate on some occasions while any stage may not on others . Such data cannot yet be rationalized . Where information is less extensive , however , it is possible to find some regularity in the observations . Thus in Euphausia superba from the Antarctic , the metanauplii remain in deep water , the later larval stages migrate diurnally , and the adolescents stay permanently at the surface ."
j06-005,"The migrating stages all come from 100-250 meters , and the time of their arrival at the surface is directly related to their swimming capacity : 3rd ( oldest ) calyptopis from 1800-2200 hr ; 2nd , from 2200-0200 hr ; and 1st , from 0200-0600 hr . Similar ontogenetic differences are apparent in Bosmina coregoni whose adults remain at the surface while the young migrate to and from a depth of 50 meters ."
j06-008,"Such permanent occurrence at the surface could of course be considered the extreme of a variable day depth . The effect of day depths upon the surfacing of various animals has been reviewed elsewhere . c . of migrational behavior , some kinds Vertical movement occurs in some forms that commonly met ."
j06-014,"Such reversed migrations are known for Acartia clausi , A. longiremis , Nyctiphanes couchii , Evadne sp. , Oithona nana , Daphnia lumholzi , Stages 4 , 5 , and adult of Calanus finmarchicus , Diaptomus banforanus , and Cyclops bicuspidatus . An echo-producing layer , which the authors think probably consists of euphausiids , has also been described as , in part , regularly moving in a reverse manner . Most of these records are well substantiated and involve whole populations rather than aberrant individuals ."
j06-018,"But normal movements have been reported also for the same species in the case of five of these examples and for other species in the same genera for the remaining Evadne , forms sometimes migrate and on other occasions do not , but a few appear to remain permanently at one level . Considering the widespread incidence of migration in the"
j06-022,"The most clearly substantiated case is that of the copepod Anomalocera at the surface . Among other copepods Rhincalanus gigas , Calanoides acutus , reported as showing no migration . The predaceous cladoceran Bythotrephes longimanus also remains at one"
j06-026,"In view of its well-known normal migration , the occurrence of Calanus finmarchicus in the summer at the surface in bright sunlight may justly be considered anomalous . This phenomenon has nevertheless been recorded many times , and such surface Calanus may be present in enormous numbers , breaking the surface"
j06-030,It seems likely that a continuous interchange was taking place between the population at the surface and that in deeper water . A second group whose normal vertical migration is sufficiently well known to make daytime occurrence at the surface rank as anomalous is the Euphausiacea . There are numerous records of euphausiids swimming
j06-034,"2 . Mechanisms . The majority of vertical migrations undoubtedly result from active swimming the water has been suggested on various grounds . For example , transport in vertical currents resulting from temperature diff- erences in water viscosity after temperature changes have also been"
j06-051,"Downward movement may in some forms start as a passive sinking , especially when it occurs before dawn ; but this must almost certainly be replaced by the headfirst downward swimming observed in the field . 3 . Initiating , primary dependence of diurnal migrations upon changes in light intensity is beyond doubt . Yet in spite"
j06-056,"Loeb first suggested the importance of light as the governing factor but combined its influence with that of gravity . Later authors , in particular Rose , have proposed that light alone can provide an adequate mechanism if the animals have , and select by exploration , a with a suggestion that both"
j07-000,"This resulted in units of much lighter weight than could be obtained with tubular constructions . The growth of the aircraft industry brought even greater emphasis to the need for lightweight compact heat exchangers . During the 1930's , the secondary surface plate-and-corrugation construction became established for aero-engine radiators , using dip-soldered copper . The air and engine-coolant passages were separated by flat plates ."
j07-005,"The air passages were packed with corrugated provide the necessary surface area for heat transfer . The narrower coolant passages were also packed with foil ,"
j07-009,"This development coincided with the introduction of pressurized aircraft cabins and the demand for air-to-air cabin coolers . Although in this case the heat transfer coefficients on the two sides of the heat exchanger were of comparable magnitude , the use of secondary surface was still attractive , since the greater part of the surface area could be made up of fins only 0.006 in. ( 0.15 mm. ) thick ."
j07-012,"the fins made possible a reduction in the total surface area required as compared with the use of smooth continuous passages for the same thermal duty and pressure losses . The properties of compact form , low weight , and design flexibility thus developed found ready application on a much larger scale with the introduction of tonnage scale air separation plants ."
j07-015,The basic method of construction is both simple and extremely flexible . Figure 3 illustrates the arrangement of a single passage . This can be manufacturing equipment available . The corrugation of uniformity in height and fin pitch .
